6,5,0,1,0,0,1,0,4,1,1,1,0,3,0,6,6,23,1,0,0,0,0,1,1,0,0,0,0,2,0,0,3,1,1,4,0,0,0,1,0,0,0,0,0,0,1,1,6,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,3,0,4,0,1,1,0,0,1,3,0,0,0,0,0,1,2,1,4,3,0,2,1,0,1,5,2,2,1,0,2,1,0,2,12,0,0,2,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,1,2,3,1,0,1,1,0,0,0,0,0,1,1,2,7,0,0,3,0,1,1,0,0,2,2,1,1,0,0,2,0,0,0,1,9,0,1,0,0,12,0,1,1,1,0,1,2,0,0,1,0,0,2,0,0,9,3,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,2,0,6,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,8,1,23,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,0,0,1,0,1,0,1,0,0,0,24,2,0,1,0,0,1,2,13,2,0,0,0,0,1,0,1,0,9,2,2,2,0,1,0,0,0,1,0,0,1,2,0,1,3,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4
9,3,0,1,1,0,1,1,1,1,1,3,1,1,0,3,10,43,2,4,0,0,2,0,1,2,2,2,1,2,0,0,0,2,1,7,2,2,0,3,1,0,0,5,0,0,1,0,8,0,2,0,2,1,0,0,1,0,1,2,0,3,0,3,0,1,1,2,0,3,3,3,1,1,2,1,0,3,0,0,1,0,0,1,0,4,0,0,2,3,5,1,1,0,1,0,0,1,0,0,5,0,2,6,0,0,0,0,1,5,0,0,7,3,0,1,0,0,0,0,2,2,1,1,3,0,0,0,3,4,0,1,0,1,1,1,0,2,7,0,1,1,1,1,0,0,0,0,0,3,0,1,2,0,0,2,2,7,0,1,1,0,0,2,0,1,1,3,0,1,0,1,2,0,0,1,0,13,0,14,0,0,9,1,0,1,0,0,1,2,0,0,0,1,0,2,0,0,8,4,0,0,0,0,0,0,1,1,0,2,0,0,2,0,1,1,3,0,1,0,0,9,0,0,0,3,1,7,0,0,4,1,0,1,1,0,0,3,0,1,2,1,3,1,1,22,0,1,0,0,2,0,0,0,2,6,1,1,0,1,2,2,0,1,0,0,0,1,0,0,1,0,1,1,0,0,15,0,0,1,0,2,0,1,19,0,0,2,1,0,0,1,3,1,3,3,0,2,0,1,1,1,0,0,0,0,2,0,1,0,0,4,3,1,0,0,1,0,2,0,0,0,6,0,1,0,0,1,0,1,0,1,0,1,1,2,3,0,0,1,1,4,0,2
7,7,0,0,0,0,0,3,1,1,6,2,1,3,0,6,4,37,4,2,0,2,0,0,4,0,0,0,2,5,0,0,1,1,0,4,3,1,0,1,1,5,2,7,0,1,0,5,12,0,1,0,0,1,0,0,0,1,1,3,1,1,0,1,2,0,1,2,1,6,9,0,3,4,0,1,0,1,2,1,2,0,0,5,1,5,0,0,1,0,7,0,0,1,7,2,1,3,0,2,6,1,0,2,0,1,1,0,2,12,0,0,8,4,3,2,1,0,2,1,0,4,3,1,1,0,1,1,0,6,0,8,0,0,4,1,2,2,3,1,2,1,5,2,2,0,0,2,0,6,0,2,0,0,0,3,2,5,2,0,2,0,3,2,0,2,1,4,2,0,0,0,1,1,1,0,2,5,1,1,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,1,0,0,0,1,1,0,5,1,0,4,0,2,1,2,1,1,1,0,0,0,0,9,2,2,1,5,0,14,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,3,0,18,0,3,1,0,2,0,2,0,0,0,1,0,0,2,0,1,0,0,2,1,2,0,0,2,0,0,0,2,5,0,21,0,1,2,0,0,0,1,22,2,0,0,2,0,0,3,4,3,9,2,2,5,0,0,0,0,1,3,0,0,1,1,1,1,1,3,1,0,1,1,0,0,2,1,0,0,3,0,1,1,0,1,0,0,6,1,1,0,4,1,0,0,1,0,3,6,0,6
3,10,1,2,0,0,1,4,4,1,3,2,2,1,0,1,1,30,1,2,1,0,1,0,2,1,0,0,2,4,0,0,1,1,0,21,3,2,1,4,0,0,2,6,0,1,0,1,7,0,0,0,0,1,0,0,4,1,0,2,0,3,0,1,0,1,0,2,0,2,0,1,3,1,1,0,0,1,0,0,0,0,0,1,1,3,0,0,4,0,13,1,0,1,2,3,2,2,1,0,9,2,5,9,0,1,0,3,4,8,0,2,2,4,2,0,1,0,0,0,0,1,0,0,5,3,2,1,0,6,1,2,1,0,4,0,1,0,3,1,2,0,3,0,4,0,0,2,1,2,0,1,3,1,1,1,3,6,1,1,4,0,0,0,0,1,5,2,0,3,1,0,2,1,0,0,1,9,2,2,1,1,27,0,1,0,0,0,0,0,1,1,0,4,2,0,1,0,10,3,0,0,0,0,3,2,4,0,2,4,0,1,0,0,0,0,3,0,1,0,0,16,0,0,1,2,2,1,0,0,6,0,2,0,1,0,1,3,1,1,1,1,2,3,3,21,0,0,0,2,2,0,0,0,2,1,0,1,0,1,1,2,0,0,1,3,0,1,1,1,0,0,0,2,0,1,24,0,0,2,0,2,0,1,12,2,0,0,0,0,2,0,2,2,0,1,2,3,0,0,0,1,0,4,0,0,6,0,0,0,0,0,0,2,4,0,1,0,5,0,2,1,3,0,0,1,2,2,0,0,2,0,0,0,0,2,2,0,2,0,0,2,0,5
6,5,0,1,0,0,0,2,1,2,4,0,5,2,0,3,2,13,9,3,2,1,0,1,2,1,0,1,0,3,2,0,4,2,1,0,1,1,0,1,0,3,0,2,0,2,0,0,22,0,0,3,1,0,0,0,0,0,0,9,0,2,0,3,0,2,0,4,1,1,1,1,4,1,0,1,0,7,1,2,1,1,0,2,1,5,0,1,2,1,13,1,2,1,2,2,0,4,2,3,7,0,1,11,0,0,0,1,0,6,0,0,2,2,0,1,2,0,0,0,1,1,4,1,5,0,0,1,1,14,1,0,0,2,1,0,1,0,2,0,0,0,1,4,2,0,0,3,0,3,0,0,0,2,0,0,2,2,1,0,0,0,2,0,0,0,2,3,1,1,0,0,1,3,0,0,1,2,1,1,2,0,6,2,1,0,0,0,0,1,1,2,2,0,1,2,0,3,11,0,1,0,0,0,0,1,4,0,0,0,0,0,2,1,2,0,6,0,1,0,1,6,0,2,0,8,1,7,0,1,2,0,1,1,0,0,0,2,1,0,0,2,1,2,5,8,0,0,1,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,3,0,1,3,2,0,1,0,0,0,2,1,15,1,1,0,0,0,0,0,22,1,0,0,1,0,2,1,0,1,3,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,2,8,3,1,1,1,0,0,5,0,2,0,2,0,0,0,1,6,1,1,9,1,0,0,3,1,2,0,0,2,2,2,0,8
10,8,0,1,0,0,0,4,5,1,3,4,1,3,0,3,4,46,2,3,1,1,0,0,2,2,4,8,1,0,2,0,1,0,0,5,2,1,4,2,0,2,0,2,0,1,1,3,6,0,1,0,9,2,1,1,6,2,1,1,3,1,0,5,0,2,0,1,1,3,3,0,9,2,0,2,2,4,1,1,0,0,0,0,1,1,0,0,2,8,11,0,1,2,0,3,1,0,0,0,6,0,3,7,1,3,1,2,2,0,2,0,12,5,1,2,1,0,0,1,1,3,1,0,17,1,3,1,0,4,0,1,0,2,3,1,1,0,7,0,2,1,2,0,4,0,0,0,2,3,0,0,9,0,0,1,5,6,7,1,4,2,0,4,0,3,3,1,1,1,0,0,3,0,0,1,0,10,1,34,0,6,12,0,0,0,0,0,1,2,0,1,2,2,2,0,1,1,14,2,1,1,0,1,0,0,5,3,1,0,0,1,0,1,0,3,1,0,0,0,0,8,0,1,3,3,0,9,0,2,2,0,0,0,1,0,0,3,0,2,0,2,3,3,2,14,0,0,1,0,2,0,0,2,3,23,0,1,0,3,0,3,0,0,0,1,1,15,2,1,0,0,0,0,2,2,18,0,1,2,0,0,2,0,11,0,3,4,3,0,0,0,3,4,4,2,5,3,0,0,2,0,1,2,0,0,5,0,0,0,0,2,1,1,0,0,0,0,4,0,1,0,2,0,0,0,1,5,0,1,1,0,3,0,2,1,1,1,0,2,0,3,2,4
19,8,0,1,1,1,1,0,3,2,7,1,1,7,0,3,2,54,5,2,0,0,1,2,1,1,4,1,1,3,5,0,0,0,0,2,2,2,0,1,1,0,0,0,0,3,1,0,14,0,0,0,3,2,2,1,10,0,0,2,0,1,0,7,1,1,0,4,0,5,6,1,2,3,1,2,2,3,0,3,0,1,0,4,1,4,0,0,0,5,11,1,1,3,6,2,3,7,1,7,5,0,2,1,0,2,6,3,1,6,1,0,5,0,0,1,4,0,0,1,2,1,4,0,7,3,0,1,0,8,1,1,3,1,1,0,1,9,5,1,0,1,2,1,8,4,1,2,1,10,0,1,3,1,3,4,2,2,3,0,1,1,2,1,1,1,2,3,4,3,1,4,0,1,0,0,1,2,0,18,0,0,10,0,1,0,0,0,1,3,0,2,0,0,3,1,2,0,15,2,0,1,0,1,1,4,6,2,2,2,0,4,5,2,1,0,3,1,1,0,1,8,0,0,4,5,1,9,0,2,10,2,4,1,1,0,0,3,0,2,5,2,0,2,2,23,0,0,1,0,4,0,3,1,1,3,1,0,1,1,3,2,0,0,4,2,1,0,7,2,4,0,0,1,2,6,12,0,0,3,1,0,1,0,33,1,1,1,1,1,1,0,4,0,7,4,3,4,0,0,0,2,3,3,0,0,5,1,0,1,1,6,1,2,1,0,0,3,2,0,0,1,1,2,0,0,1,3,1,2,9,0,0,1,4,0,5,0,2,3,2,8,1,7
23,12,2,1,0,0,0,1,5,2,4,8,3,0,0,7,11,52,6,9,2,0,2,1,3,0,0,2,1,5,1,0,2,1,0,14,2,0,1,0,1,3,3,1,0,2,1,5,20,1,0,0,2,1,0,0,3,2,3,6,5,1,1,2,3,3,0,4,2,6,5,2,4,5,0,5,0,2,1,1,0,0,1,3,1,7,0,2,1,6,13,1,0,2,8,1,0,6,0,1,3,1,1,12,3,3,2,2,7,18,0,1,8,7,0,2,1,0,0,2,1,4,5,1,10,0,1,0,2,3,2,4,2,3,6,0,0,2,7,2,4,0,1,2,6,1,0,5,0,11,0,3,6,1,1,3,5,6,4,1,3,1,3,7,1,3,1,3,0,0,0,2,1,1,0,2,2,22,1,6,2,0,19,0,1,0,1,3,0,0,2,3,1,2,3,3,0,4,15,4,0,0,2,3,1,3,2,0,2,3,0,5,2,0,0,0,3,0,1,1,1,19,2,0,2,6,0,8,0,3,8,1,2,0,2,0,3,3,0,4,5,1,1,1,4,18,0,0,1,1,2,0,2,2,4,8,1,1,1,3,5,4,1,0,2,0,2,4,4,5,4,0,0,2,1,6,6,5,0,2,0,0,2,1,25,2,1,1,8,0,0,1,4,8,7,3,3,2,0,0,1,1,3,4,2,4,5,1,1,1,0,4,5,2,3,0,0,0,2,1,0,1,6,1,1,0,0,2,2,0,2,0,0,1,5,0,1,0,5,1,0,3,2,7
21,21,0,1,1,1,0,2,7,2,7,1,0,4,0,5,6,65,10,12,1,2,1,0,2,5,0,2,3,1,2,1,2,2,0,4,2,1,2,0,0,1,1,9,1,1,1,3,15,3,1,1,2,0,0,0,5,5,0,10,1,1,0,2,0,5,0,2,4,6,3,2,2,3,1,1,5,4,0,3,0,4,1,3,4,4,0,3,0,6,17,3,2,2,11,3,1,3,0,4,5,1,3,21,5,3,4,3,5,4,2,2,12,10,2,2,3,1,0,2,6,3,2,1,5,2,3,1,4,8,0,2,1,0,12,0,0,6,8,6,3,1,3,5,4,5,1,2,0,4,0,5,2,0,0,5,8,11,3,0,6,3,4,2,0,0,2,5,3,8,1,3,4,1,0,1,1,24,3,8,2,0,28,1,1,1,0,0,1,1,1,2,1,3,3,2,1,3,10,5,1,0,0,1,2,1,8,2,2,3,0,3,2,0,0,2,2,0,0,1,1,28,0,0,5,7,0,13,0,3,10,0,1,0,3,1,0,6,3,6,0,3,2,2,1,44,0,4,1,0,3,0,1,0,6,4,0,0,0,5,4,1,0,1,1,3,0,1,3,2,2,0,0,2,6,3,26,2,2,1,1,3,6,1,26,5,1,1,3,0,6,1,0,2,14,1,0,3,0,0,0,0,4,7,1,0,7,1,1,0,0,0,2,1,3,1,0,0,8,0,1,2,0,0,0,1,0,1,1,0,16,2,0,1,6,2,3,1,2,2,2,3,3,7
35,9,1,4,0,0,0,2,6,1,9,3,3,2,0,4,10,68,3,6,2,2,3,1,7,2,1,3,2,7,1,0,4,2,0,7,0,2,3,3,0,2,1,2,0,2,0,2,12,5,1,0,1,1,1,0,10,1,2,0,2,1,0,3,4,0,4,2,0,4,12,1,3,2,0,1,3,4,1,2,0,3,2,2,1,9,0,3,2,11,15,2,2,0,4,2,1,9,1,2,5,5,3,15,0,3,1,1,4,3,1,3,6,5,3,5,0,0,0,0,3,3,1,2,7,0,0,3,4,18,0,2,0,1,2,1,2,0,5,3,1,1,4,2,4,0,1,5,1,10,0,4,4,3,5,6,6,13,1,0,10,0,1,5,1,3,2,4,1,3,0,3,4,0,0,2,0,8,3,36,6,2,10,2,1,1,2,1,4,2,1,1,3,4,3,8,2,3,19,8,0,0,0,1,4,2,4,0,1,3,2,3,1,0,3,1,5,0,0,0,0,12,2,2,3,3,1,10,0,1,4,0,2,0,1,0,1,3,1,8,4,2,1,1,0,62,0,0,0,1,3,0,0,1,1,4,0,0,2,0,3,2,0,0,1,0,0,2,2,4,1,0,0,0,5,4,30,1,0,0,1,0,3,1,19,3,0,1,6,1,1,1,2,6,3,5,3,3,0,2,1,1,2,3,0,0,8,1,2,0,0,9,10,2,1,1,2,0,7,0,2,3,5,1,2,0,1,10,2,0,3,4,1,0,6,3,4,0,5,6,1,2,0,5
16,13,0,1,2,0,1,1,3,4,9,6,3,0,0,5,12,52,1,8,2,5,1,1,1,2,0,2,2,7,0,0,2,0,3,9,2,5,3,0,0,0,1,5,1,4,0,0,10,1,2,3,1,0,0,1,1,1,0,13,2,1,1,1,4,2,0,2,2,7,1,1,5,2,0,5,6,6,2,4,2,2,0,1,0,3,0,0,3,6,13,5,2,0,6,7,1,1,0,2,7,0,2,10,4,8,0,3,3,2,2,1,8,8,1,4,5,0,1,3,3,0,6,1,3,4,3,2,0,9,1,7,2,3,4,1,1,0,6,0,5,3,3,5,4,0,0,3,0,8,0,2,2,0,1,4,5,15,0,1,2,0,3,2,2,1,0,4,2,2,1,0,2,4,2,3,0,15,0,12,5,2,20,2,3,0,1,0,0,1,4,2,0,11,3,4,2,0,33,2,2,0,2,1,1,1,2,0,3,1,0,6,1,2,0,3,4,0,0,1,1,14,3,0,0,6,0,15,0,2,4,0,2,0,1,0,1,4,1,6,4,1,0,0,1,34,0,0,3,0,5,0,1,1,3,3,0,0,1,1,5,2,0,0,2,3,2,1,2,4,1,0,0,2,5,2,22,1,1,1,0,1,1,4,25,5,2,1,5,0,1,0,3,7,15,5,9,5,0,0,2,1,3,6,3,1,5,1,1,0,1,5,0,2,3,1,0,1,13,1,0,2,3,0,1,1,0,7,0,1,6,3,3,1,4,5,5,1,1,1,3,5,1,12
6,19,1,1,0,0,0,1,4,1,3,3,3,3,0,1,8,42,8,4,0,2,0,0,1,3,0,4,0,3,0,2,1,0,1,13,2,1,2,3,0,0,1,2,0,2,0,3,8,0,0,0,5,0,2,1,2,4,0,3,2,0,0,2,1,5,0,2,0,5,7,1,5,2,0,1,3,5,0,0,0,2,1,4,2,1,1,0,2,5,3,1,1,1,0,4,3,3,3,2,4,5,2,10,1,0,1,8,6,1,1,0,5,8,1,1,3,3,0,2,5,5,5,1,9,0,1,2,0,5,0,8,0,1,2,2,0,1,2,1,2,1,1,2,2,0,3,4,2,7,0,3,2,0,2,4,0,14,3,0,2,0,0,2,0,3,3,7,0,1,0,0,0,0,0,1,0,15,1,12,3,1,15,0,1,0,0,2,2,4,0,1,0,2,0,3,0,0,21,2,0,0,0,0,1,2,7,2,0,2,0,2,2,1,0,0,4,0,1,0,0,19,0,1,4,1,0,6,1,3,9,0,3,0,2,0,1,1,0,1,0,3,4,6,0,32,0,0,3,0,4,0,0,2,1,8,1,0,2,1,2,0,0,1,0,0,0,2,0,1,2,0,0,0,4,4,27,1,2,0,0,1,0,0,15,2,1,2,5,0,5,0,3,2,10,6,11,8,0,3,3,0,2,2,0,1,0,0,0,0,2,2,2,2,1,1,1,0,2,0,1,0,5,0,0,0,0,4,4,0,19,0,0,0,2,1,2,0,1,1,1,2,3,13
21,18,0,1,2,0,0,2,5,1,12,8,0,6,0,3,5,46,5,0,1,0,0,3,1,3,1,2,0,2,1,0,1,4,0,8,2,2,1,1,1,2,2,1,0,1,0,0,11,1,0,1,0,2,0,2,6,1,1,3,1,0,1,2,3,1,0,2,0,0,2,0,4,3,0,1,4,4,1,1,1,1,1,1,0,9,1,1,1,3,11,0,2,2,4,4,2,7,0,3,4,3,1,1,4,2,2,11,0,4,3,0,6,8,0,0,3,0,0,2,4,7,1,1,9,0,0,1,1,3,0,0,1,2,2,0,1,6,5,0,3,0,2,1,2,7,0,1,0,6,0,1,4,2,4,4,1,13,4,0,4,1,0,3,0,0,2,6,0,1,1,0,1,0,1,0,4,9,3,27,0,7,10,0,2,0,3,0,2,3,1,2,2,2,4,3,1,3,20,0,0,0,0,0,1,1,8,1,2,0,1,1,1,3,0,0,1,0,1,0,1,9,2,0,2,1,1,6,0,0,4,3,3,0,1,0,1,1,1,3,1,0,4,6,2,28,0,2,1,0,3,0,1,1,1,7,0,1,0,2,4,1,0,1,1,2,3,1,0,1,3,0,0,1,1,1,10,0,1,1,0,0,1,2,21,3,0,0,7,2,0,0,1,3,3,3,8,0,0,1,1,3,1,1,0,1,2,1,1,0,0,2,1,0,2,1,0,0,1,0,0,1,2,1,0,0,1,2,1,1,7,0,0,1,2,2,0,0,2,2,1,1,1,8
23,5,0,0,1,0,4,2,1,5,9,5,0,3,0,1,9,48,7,7,3,1,1,2,4,4,4,0,0,5,1,0,3,3,0,4,2,1,2,2,1,2,2,2,0,3,0,0,11,2,1,0,1,0,1,2,9,1,3,2,4,0,0,1,0,3,1,6,1,6,6,0,4,4,1,1,1,14,5,0,6,2,0,4,1,5,1,2,1,0,13,1,3,0,13,3,1,2,0,3,1,1,0,9,4,1,10,3,11,4,0,3,15,3,3,5,1,0,0,3,5,6,9,2,3,2,0,5,4,3,0,6,0,2,6,1,2,6,8,1,2,1,4,6,1,5,0,4,0,3,0,2,3,1,2,11,2,1,6,1,8,3,4,2,0,1,2,3,0,3,1,1,0,0,1,2,9,4,1,1,4,0,11,2,2,2,2,0,2,2,0,1,1,6,1,3,3,3,17,5,0,1,1,2,0,0,3,0,4,0,0,4,1,0,2,4,1,0,2,0,0,10,1,2,1,4,1,5,1,2,5,1,2,0,0,0,2,0,0,4,6,1,3,9,2,52,0,2,2,1,3,0,2,3,2,7,2,0,0,1,3,1,0,0,1,0,0,1,4,1,2,0,2,2,4,0,7,1,0,2,2,0,0,2,16,4,0,1,1,1,2,1,3,6,7,2,7,5,0,1,0,1,2,2,4,4,0,3,1,0,0,6,7,0,0,2,2,0,3,0,0,3,5,2,2,1,0,1,0,1,2,4,1,2,5,4,10,0,3,1,4,3,0,7
36,9,1,2,2,0,0,2,5,3,8,2,1,2,0,4,6,56,6,6,3,2,1,2,3,1,0,1,3,5,3,1,0,4,3,6,1,2,3,2,3,2,1,1,1,0,0,0,14,2,1,2,2,1,0,0,4,5,1,6,3,3,1,4,2,5,0,0,1,4,3,0,2,1,0,4,1,11,0,0,1,2,1,0,2,3,0,0,2,3,20,3,2,0,12,2,2,3,1,5,4,1,1,12,1,1,2,9,7,2,1,2,10,10,1,6,1,2,1,1,2,8,1,6,9,0,1,3,1,12,3,4,0,5,1,3,1,1,8,1,1,2,1,8,5,0,1,0,1,5,0,2,3,0,3,4,8,13,2,0,5,1,4,5,0,5,3,2,2,2,1,0,2,1,0,0,0,11,1,8,0,1,15,1,1,1,1,1,2,7,1,1,0,0,2,1,0,1,13,3,0,0,0,1,0,1,3,0,1,1,0,1,1,4,1,1,2,1,0,0,1,17,1,0,0,4,2,8,0,3,14,1,4,0,2,2,0,5,1,2,6,3,0,2,2,48,0,1,1,0,1,0,0,2,6,7,0,1,1,3,1,1,0,4,0,2,2,0,4,0,4,0,0,2,7,1,16,2,2,2,2,0,2,1,27,1,1,5,6,0,8,0,4,6,11,0,7,1,0,1,1,1,2,4,3,1,1,2,2,1,1,2,6,2,3,1,1,0,3,0,3,0,2,1,1,1,0,5,2,0,25,1,5,0,1,2,2,0,5,2,3,3,2,14
28,6,0,1,1,0,1,1,9,2,11,2,0,2,0,6,13,39,6,9,1,2,0,1,4,8,0,1,0,4,1,1,0,2,1,9,1,3,2,1,0,2,0,2,0,1,1,0,8,2,1,1,1,2,0,2,6,4,0,5,2,3,0,1,2,1,2,4,1,3,2,1,6,1,1,3,1,3,4,0,2,7,2,1,1,7,0,1,4,10,10,4,2,0,13,0,6,8,1,2,2,1,2,13,1,3,2,5,5,3,1,0,13,10,1,10,4,1,0,3,9,7,2,4,6,0,1,3,2,5,2,1,1,2,2,1,0,1,3,1,2,2,2,4,0,0,2,1,3,8,2,3,1,0,0,3,2,3,1,4,7,0,2,2,2,3,4,4,0,3,0,2,0,0,1,1,3,7,1,26,1,3,6,1,2,2,2,0,0,2,2,0,1,0,0,2,2,4,24,4,0,0,0,1,3,0,4,2,4,4,0,4,0,0,4,0,0,0,0,0,1,8,3,0,0,3,3,12,0,0,5,0,0,1,2,2,1,4,1,1,4,2,1,5,9,48,0,1,3,1,3,0,0,1,1,5,1,0,2,4,2,2,0,2,2,0,2,2,5,1,4,0,0,2,7,3,7,1,3,2,3,1,0,4,20,2,1,6,5,0,5,1,5,12,8,0,7,2,0,2,2,2,1,3,1,0,4,0,0,1,1,2,5,0,0,0,0,0,10,0,1,1,1,0,0,0,0,5,1,1,6,1,2,0,5,5,1,1,2,1,1,4,1,9
41,13,1,0,2,2,0,1,7,4,3,5,2,3,0,3,12,61,2,4,2,0,1,1,2,6,0,2,0,4,0,0,0,2,1,8,0,0,5,0,0,0,0,1,0,2,0,1,6,1,0,0,3,0,4,1,10,1,2,1,2,3,1,4,3,0,4,6,2,0,4,4,3,7,1,3,4,3,0,1,2,3,1,1,2,4,1,1,0,2,1,3,3,0,5,5,8,4,0,0,0,1,2,12,2,0,2,3,6,4,1,5,13,7,4,7,3,0,0,1,4,6,3,3,7,0,1,8,0,0,0,6,1,1,1,0,0,1,5,4,3,2,1,2,2,4,0,2,0,12,0,9,1,0,0,3,0,20,4,0,1,0,2,4,0,4,1,6,1,3,2,2,0,3,4,0,5,6,0,11,0,2,11,3,1,0,0,0,3,1,1,2,0,3,0,3,2,0,11,4,0,0,2,1,0,0,2,0,0,2,0,1,0,0,6,1,2,0,3,0,0,13,1,1,3,1,1,4,0,3,2,0,2,0,3,0,0,0,1,6,8,5,0,2,10,36,0,2,5,0,1,0,2,0,2,6,4,0,0,2,0,0,0,2,1,0,1,1,1,3,2,0,0,3,5,0,15,5,3,0,0,3,0,0,15,4,0,0,0,0,1,3,0,15,9,3,15,4,0,2,0,2,0,4,3,0,2,1,0,1,1,2,3,4,1,1,0,0,10,1,2,3,2,1,1,1,2,4,1,4,16,0,1,2,5,1,5,0,2,1,4,9,1,6
37,9,0,0,0,0,0,0,15,1,12,2,3,2,0,3,16,57,17,6,0,1,0,2,1,0,0,2,1,6,1,1,4,1,1,2,2,1,4,2,0,1,2,1,0,1,0,1,12,0,4,0,4,0,5,1,4,2,2,3,3,3,0,4,0,7,3,6,2,3,5,2,8,1,0,0,1,5,4,1,1,3,3,5,0,5,1,1,0,2,12,5,4,2,7,2,2,5,0,1,2,2,5,7,0,4,0,6,10,4,4,1,12,8,3,4,3,0,0,0,2,3,3,3,10,3,0,0,6,8,1,6,3,0,1,1,2,0,4,3,2,3,8,2,2,0,3,3,1,11,1,2,7,4,2,2,2,1,5,0,7,0,2,3,1,2,2,7,3,1,2,1,2,1,0,1,4,3,4,8,2,2,5,2,0,1,0,0,3,3,3,1,1,5,2,2,4,2,11,6,0,0,0,0,0,0,2,2,2,2,1,2,1,1,0,0,6,0,0,0,0,4,0,1,1,2,0,3,0,5,2,0,2,0,0,1,0,0,0,3,4,2,2,4,15,85,0,1,7,3,4,0,0,1,2,8,1,0,3,4,2,0,0,2,4,2,3,5,6,7,2,1,2,1,1,3,6,8,2,1,0,1,5,2,9,2,0,3,2,0,2,0,5,17,5,7,7,15,0,0,2,0,1,1,1,0,2,5,0,3,0,8,5,4,3,1,0,1,10,0,1,0,3,0,0,0,1,3,0,0,5,4,0,2,3,1,5,1,1,0,2,2,0,7
17,11,0,1,2,0,1,7,11,6,6,2,4,3,0,3,6,28,10,7,0,3,0,1,3,3,1,1,1,0,2,0,3,3,1,1,2,0,3,2,0,1,0,1,0,1,2,3,10,0,0,1,0,0,1,0,23,1,3,8,1,6,0,0,0,4,0,1,2,7,6,5,3,1,1,1,0,11,1,0,0,0,2,2,2,2,0,1,2,8,8,4,1,1,2,2,2,5,0,2,3,0,0,6,1,0,0,2,8,0,2,0,1,3,3,5,2,1,0,2,1,1,2,0,5,6,2,0,1,12,0,1,0,1,3,0,0,0,3,0,2,1,4,3,2,0,1,1,0,3,2,4,4,1,2,3,2,4,2,0,4,0,2,8,0,3,0,1,1,1,0,1,0,1,1,0,2,7,1,20,1,1,8,2,3,0,0,1,2,4,0,1,1,1,0,5,3,0,9,5,0,0,0,0,2,2,4,0,1,0,0,9,1,5,0,3,0,0,0,0,0,11,1,1,0,1,1,8,0,1,8,1,4,3,1,0,0,2,0,2,1,1,3,1,9,82,0,1,3,0,5,0,2,0,2,3,4,1,0,3,1,1,0,6,1,3,2,4,0,1,6,0,0,0,6,2,9,2,3,1,1,0,0,1,14,0,0,7,12,0,5,1,3,4,15,5,4,1,0,9,0,2,1,3,4,3,0,3,2,1,1,6,4,0,2,1,1,0,5,0,1,0,0,0,0,1,2,3,2,1,13,1,0,0,2,3,3,0,3,0,1,1,3,16
21,4,0,0,1,1,1,0,6,5,5,1,0,2,0,1,5,29,9,0,0,0,0,0,4,3,0,4,1,5,1,1,1,0,0,4,0,2,0,1,0,1,0,0,0,2,2,1,1,0,0,1,1,2,1,0,2,3,0,6,0,1,0,4,1,0,0,0,0,2,3,2,1,0,0,1,7,4,1,1,2,0,2,0,4,6,1,0,0,2,17,1,1,0,2,3,1,2,0,5,1,2,3,8,2,1,3,9,0,4,5,1,5,5,2,12,5,0,0,1,2,2,0,1,11,3,1,1,3,10,3,2,0,2,1,0,0,3,3,2,1,1,2,1,1,2,4,1,0,11,2,2,7,0,0,0,2,9,6,3,4,3,0,5,1,1,3,1,0,0,1,1,1,0,0,1,1,9,1,15,4,4,7,1,1,0,0,0,1,1,2,2,0,0,0,0,0,3,13,4,0,1,0,2,0,0,3,1,2,1,0,4,0,0,1,0,2,0,2,0,0,12,2,0,0,1,4,5,0,0,9,2,1,1,2,1,0,1,0,2,0,1,0,1,0,33,0,0,1,1,6,0,1,0,0,9,1,1,0,1,3,2,0,1,0,3,1,1,1,1,3,0,0,1,6,0,9,8,1,0,0,0,1,0,18,4,2,3,3,0,7,3,3,6,2,0,7,0,0,3,1,1,0,4,0,0,3,0,2,2,0,5,5,0,3,0,1,0,2,1,0,0,1,2,0,0,0,1,3,2,9,0,0,0,2,1,0,0,1,2,2,4,4,6
